yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
21202021,2120,2021,CT0000200,CT0000200,,N,N,,I,ANSONIA,ANSONIA PD,Ansonia,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,18452,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,32,1,33,6,9,15,2.1,2.6,1998-01-01,2001-03-01,2020-11-01,2020-02-01,2020-11-01,2020-11-01,N,NEW HAVEN,"New Haven-Milford, CT",Y,Y,Y
21212021,2121,2021,CT0000400,CT0000400,,N,N,,I,AVON,AVON PD,Avon,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,18226,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,30,4,34,3,6,9,1.8,2.4,1998-01-01,2010-02-01,2020-11-01,2020-02-01,2020-11-01,2020-11-01,N,HARTFORD,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
21232021,2123,2021,CT0000700,CT0000700,,N,N,,I,BERLIN,BERLIN PD,Berlin,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,20440,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,34,5,39,7,6,13,2.0,2.5,1998-01-01,2000-02-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,HARTFORD,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
21242021,2124,2021,CT0000900,CT0000900,,N,N,,I,BETHEL,BETHEL PD,Bethel,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,20066,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,32,6,38,7,7,14,1.9,2.6,1998-01-01,1998-08-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,FAIRFIELD,"Bridgeport-Stamford-Norwalk, CT",Y,Y,Y
21252021,2125,2021,CT0001100,CT0001100,,N,N,,I,BLOOMFIELD,BLOOMFIELD PD,Bloomfield,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,21254,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,34,1,35,12,12,24,2.2,2.8,1998-01-01,2005-10-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,HARTFORD,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
21262021,2126,2021,CT0001400,CT0001400,,N,N,,I,BRANFORD,BRANFORD PD,Branford,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,27707,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,42,3,45,9,8,17,1.8,2.2,1998-01-01,1998-01-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,NEW HAVEN,"New Haven-Milford, CT",Y,Y,Y
21272021,2127,2021,CT0001500,CT0001500,,N,N,,I,BRIDGEPORT,BRIDGEPORT PD,Bridgeport,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,143394,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,6,2,"Cities from 100,000 thru 249,999",2,"Cities from 100,000 thru 249,999",Y,6,,Y,281,21,302,49,27,76,2.3,2.6,1998-01-01,2018-06-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,FAIRFIELD,"Bridgeport-Stamford-Norwalk, CT",Y,Y,Y
21282021,2128,2021,CT0001700,CT0001700,,N,N,,I,BRISTOL,BRISTOL PD,Bristol,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,59659,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,107,11,118,10,13,23,2.0,2.4,1998-01-01,2011-01-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,HARTFORD,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
21292021,2129,2021,CT0001800,CT0001800,,N,N,,I,BROOKFIELD,BROOKFIELD PD,Brookfield,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,16944,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,32,5,37,2,5,7,2.0,2.6,1998-01-01,2006-08-01,2020-11-01,2020-03-01,2020-11-01,2020-11-01,N,FAIRFIELD,"Bridgeport-Stamford-Norwalk, CT",Y,Y,Y
21302021,2130,2021,CT0002300,CT0002300,,N,N,,I,CANTON,CANTON PD COLLINSVILLE,Canton,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,10223,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,16,8,24,0,2,2,1.6,2.5,1998-01-01,2006-11-01,2020-12-01,2020-03-01,2020-12-01,2020-12-01,N,HARTFORD,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
21312021,2131,2021,CT0002500,CT0002500,,N,N,,I,CHESHIRE,CHESHIRE PD,Cheshire,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,28755,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,40,7,47,5,6,11,1.6,2.0,1998-01-01,1998-04-01,2020-11-01,2020-03-01,2020-11-01,2020-11-01,N,NEW HAVEN,"New Haven-Milford, CT",Y,Y,Y
21322021,2132,2021,CT0002700,CT0002700,,N,N,,I,CLINTON,CLINTON PD,Clinton,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,12846,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,25,6,31,2,4,6,2.1,2.9,1998-01-01,2001-12-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,N,MIDDLESEX,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
21332021,2133,2021,CT0003200,CT0003200,,N,N,,I,COVENTRY,COVENTRY PD,Coventry,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,12384,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,11,4,15,2,1,3,1.0,1.5,1998-01-01,2003-04-01,2020-08-01,2020-03-01,2020-08-01,2020-08-01,N,TOLLAND,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
21342021,2134,2021,CT0003300,CT0003300,,N,N,,I,CROMWELL,CROMWELL PD,Cromwell,,A,8,Connecticut,CT,CT,1,New England,1,Northeast,Region I,City,13750,23359,CTUCR0001,Connecticut State Police Crimes Analysis Unit,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,23,3,26,4,7,11,2.0,2.7,1998-01-01,1999-12-01,2020-11-01,2020-02-01,2020-11-01,2020-11-01,N,MIDDLESEX,"Hartford-East Hartford-MIddletown, CT",Y,Y,Y
