County,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3,State
Floyd,22,0,11,,0,11,106,32,68,6,0,
Fluvanna,30,0,3,,3,24,184,32,140,12,4,
Franklin,74,0,17,,4,53,508,88,380,40,4,
Frederick,68,2,33,,8,25,"1,005",161,782,62,2,
Giles,9,0,1,,0,8,72,16,53,3,1,
Gloucester,37,1,13,,6,17,501,61,403,37,4,
Goochland,18,0,1,,0,17,169,21,138,10,1,
Greene,22,0,2,,8,12,180,17,156,7,2,
Hanover,98,4,20,,10,64,"1,052",69,921,62,9,
Henrico County Police Department,606,16,39,,203,348,"8,072","1,147","6,439",486,22,
Isle of Wight,31,0,6,,3,22,300,63,223,14,6,
James City County Police Department,90,1,17,,12,60,"1,143",123,995,25,2,
King William,11,1,1,,1,8,79,9,68,2,0,
Loudoun,336,2,114,,46,174,"2,647",196,"2,315",136,33,
Mathews,4,1,0,,0,3,73,24,46,3,0,
Montgomery,45,1,13,,2,29,303,63,212,28,2,
Nelson,24,1,7,,1,15,158,30,119,9,3,
New Kent,13,0,6,,0,7,265,45,208,12,2,
Powhatan,18,1,7,,2,8,210,31,160,19,2,
Prince George County Police Department,40,0,7,,13,20,381,68,292,21,1,
Prince William County Police Department,843,22,83,,230,508,"5,159",549,"4,280",330,10,
Pulaski,48,2,6,,3,37,607,80,516,11,4,
Rappahannock,1,0,1,,0,0,27,9,18,0,0,
Roanoke County Police Department,167,1,25,,12,129,"1,168",169,958,41,1,
Rockingham,70,1,27,,5,37,362,116,239,7,5,
Scott,16,1,7,,0,8,177,33,126,18,2,
Spotsylvania,227,3,35,,54,135,"1,693",193,"1,416",84,1,
Stafford,308,5,46,,37,220,"1,814",165,"1,572",77,12,
Sussex,9,0,1,,2,6,77,19,55,3,1,
Warren,20,0,11,,0,9,221,24,179,18,1,
Washington,67,1,15,,3,48,717,148,519,50,2,
York,123,4,34,,34,51,"1,269",125,"1,100",44,7,
Accomack,43,5,16,,5,17,379,112,241,26,1,VIRGINIA - Nonmetropolitan Counties
Alleghany,12,0,3,,1,8,69,28,34,7,1,
Bath,7,0,0,,0,7,18,3,15,0,0,
Bland,1,0,1,,0,0,48,7,39,2,0,
Brunswick,16,0,11,,1,4,82,20,57,5,0,
Buchanan,53,2,21,,0,30,301,85,196,20,3,
Carroll,18,0,5,,1,12,339,85,212,42,4,
Charlotte,26,1,4,,1,20,107,26,73,8,0,
Cumberland,19,0,5,,0,14,47,16,27,4,2,
Dickenson,26,0,16,,0,10,107,24,76,7,0,
Essex,5,0,1,,0,4,63,33,26,4,1,
Grayson,17,2,6,,1,8,154,21,122,11,1,
Greensville,9,0,2,,5,2,98,26,64,8,1,
Halifax,37,1,11,,3,22,295,102,168,25,3,
Henry,114,3,21,,29,61,"1,302",271,956,75,15,
Highland,4,0,0,,0,4,24,6,17,1,0,
King and Queen,18,1,3,,2,12,50,19,27,4,0,
King George,25,0,10,,2,13,263,27,220,16,0,
Lancaster,13,0,8,,0,5,108,27,73,8,2,
Lee,15,0,5,,0,10,295,18,276,1,2,
Louisa,57,2,11,,4,40,355,39,293,23,2,
Lunenburg,5,0,2,,0,3,54,16,33,5,1,
Madison,11,0,3,,1,7,99,8,83,8,0,
Mecklenburg,32,2,11,,4,15,219,84,122,13,1,
Middlesex,13,0,8,,1,4,124,23,91,10,2,
Northampton,8,3,0,,2,3,89,31,54,4,0,
Northumberland,22,0,6,,2,14,101,34,64,3,1,
Nottoway,6,2,1,,0,3,67,12,51,4,1,
Orange,21,0,6,,2,13,210,43,156,11,0,
Page,26,5,11,,1,9,150,39,101,10,5,
Patrick,33,1,9,,6,17,228,34,177,17,2,
Pittsylvania,46,2,17,,2,25,367,117,230,20,12,
Prince Edward,12,0,4,,1,7,87,21,61,5,1,
Richmond,9,0,1,,0,8,43,12,26,5,0,
Rockbridge,23,0,6,,0,17,237,45,177,15,2,
Russell,35,1,12,,1,21,197,77,109,11,4,
Shenandoah,41,1,16,,0,24,229,61,163,5,1,
Smyth,30,1,9,,1,19,259,57,188,14,5,
Southampton,23,4,6,,4,9,171,48,111,12,5,
Surry,16,0,1,,2,13,51,18,29,4,0,
Tazewell,42,1,17,,2,22,377,76,283,18,8,
Westmoreland,10,0,0,,0,10,108,27,79,2,0,
Wise,48,1,34,,0,13,284,50,216,18,4,
Wythe,16,0,3,,1,12,149,22,107,20,0,
Asotin,14,0,4,,0,10,172,35,117,20,1,WASHINGTON - Metropolitan Counties
Benton,68,1,14,,6,47,522,172,300,50,7,
Chelan,35,0,2,,2,31,655,187,428,40,1,
Clark,323,4,80,,44,195,"2,706",673,"1,455",578,22,
Columbia,3,0,0,,0,3,134,20,111,3,1,
Cowlitz,52,1,15,,4,32,422,153,204,65,6,
Douglas,26,1,4,,1,20,328,91,200,37,3,
Franklin,23,0,3,,3,17,158,62,87,9,7,
King,385,3,,67,98,217,"4,397","1,352","2,166",879,44,
Kitsap,376,1,63,,38,274,"3,985",965,"2,723",297,17,
Pend Oreille,26,0,8,,1,17,282,71,189,22,2,
Pierce,"1,193",12,142,,243,796,"9,191","2,649","5,001","1,541",40,
Skagit,90,1,15,,8,66,"1,135",417,626,92,4,
Skamania,8,0,1,,0,7,70,21,43,6,0,
Snohomish,566,4,106,,89,367,"5,748","1,692","3,082",974,29,
Spokane8,184,2,47,,28,107,"3,885",936,"2,611",338,15,
Stevens,32,1,5,,1,25,547,259,253,35,2,
Thurston,255,6,23,,21,205,"2,314",748,"1,310",256,9,
Walla Walla,26,0,7,,2,17,261,86,140,35,1,
Whatcom,166,4,41,,14,107,"1,216",427,705,84,9,
Yakima,132,6,17,,24,85,"1,761",583,892,286,19,
Adams,23,1,4,,3,15,189,80,87,22,0,WASHINGTON - Nonmetropolitan Counties
Clallam,89,2,15,,2,70,605,192,376,37,6,
Ferry,7,0,4,,0,3,21,8,12,1,1,
Garfield,2,0,0,,0,2,64,31,32,1,1,
Grant,83,2,11,,8,62,"1,307",365,766,176,7,
Grays Harbor,26,1,4,,0,21,390,100,255,35,6,
Island,32,1,2,,1,28,524,194,312,18,2,
Jefferson,17,0,2,,1,14,189,65,103,21,2,
Kittitas,8,0,3,,0,5,131,36,80,15,1,
Klickitat,8,2,2,,0,4,82,47,25,10,0,
Lewis,48,0,9,,1,38,504,184,273,47,3,
Lincoln,9,0,2,,2,5,152,52,83,17,2,
Mason,99,5,15,,9,70,"1,022",347,557,118,3,
Okanogan,29,0,3,,0,26,242,99,120,23,1,
Pacific,25,1,4,,1,19,201,74,117,10,0,
San Juan,10,1,1,,1,7,177,35,136,6,3,
Wahkiakum,9,0,2,,0,7,42,14,26,2,0,
Whitman,19,0,8,,1,10,94,55,28,11,1,
Berkeley,78,2,14,,16,46,952,248,667,37,5,WEST VIRGINIA - Metropolitan Counties
Boone,4,0,1,,0,3,83,22,42,19,0,
Brooke,5,0,1,,1,3,61,20,36,5,0,
Cabell,26,0,2,,2,22,591,133,428,30,2,
Fayette,73,2,2,,5,64,284,108,157,19,2,
Hancock,10,0,3,,1,6,50,18,27,5,2,
Jefferson,46,3,8,,6,29,474,168,291,15,3,
Marshall,42,0,3,,0,39,117,65,43,9,0,
Mineral,17,0,1,,1,15,60,16,42,2,3,
Monongalia,73,0,3,,1,69,277,74,192,11,1,
Ohio,46,0,9,,0,37,148,39,104,5,1,
Preston,56,0,5,,0,51,81,36,35,10,0,
Putnam,131,0,12,,2,117,337,89,199,49,2,
Raleigh,109,5,0,,10,94,730,288,407,35,7,
Wirt,7,0,0,,0,7,23,6,16,1,0,
Wood,101,0,11,,4,86,296,83,192,21,2,
Barbour,31,0,2,,0,29,38,9,26,3,0,WEST VIRGINIA - Nonmetropolitan Counties
Calhoun,0,0,0,,0,0,0,0,0,0,0,
Doddridge,2,0,1,,0,1,19,8,10,1,1,
Gilmer,0,0,0,,0,0,7,1,5,1,0,
Grant,4,0,0,,0,4,10,3,7,0,0,
Greenbrier,3,0,1,,0,2,50,12,32,6,0,
Hardy,16,1,0,,0,15,6,0,5,1,0,
Harrison,56,0,8,,5,43,181,66,96,19,6,
Jackson,95,1,1,,0,93,70,24,38,8,0,
Lewis,0,0,0,,0,0,57,13,44,0,2,
Logan,97,1,2,,1,93,49,12,32,5,2,
Mason,12,0,3,,3,6,173,81,76,16,5,
McDowell,15,2,0,,2,11,33,16,16,1,0,
Mercer,80,4,5,,13,58,376,119,231,26,1,
Mingo,1,0,0,,0,1,4,1,3,0,0,
Monroe,3,0,0,,0,3,41,14,24,3,1,
Morgan,50,0,5,,0,45,70,20,48,2,0,
Nicholas,123,1,5,,2,115,110,32,77,1,0,
Pleasants,5,0,0,,0,5,12,5,7,0,0,
Pocahontas,8,0,0,,0,8,9,2,7,0,0,
Randolph,74,2,1,,0,71,127,28,99,0,2,
Ritchie,0,0,0,,0,0,30,6,23,1,0,
Roane,21,0,3,,1,17,63,1,51,11,0,
Summers,15,0,3,,1,11,28,15,13,0,0,
Tyler,10,0,0,,0,10,19,9,10,0,0,
Upshur,5,1,0,,0,4,72,10,46,16,0,
Wetzel,3,0,1,,0,2,26,15,11,0,0,
Wyoming,39,0,1,,1,37,67,22,43,2,2,
Brown8,67,2,17,,3,45,866,156,653,57,2,WISCONSIN - Metropolitan Counties
Calumet,12,0,3,,0,9,124,39,83,2,0,
Chippewa,15,1,2,,0,12,270,68,187,15,0,
Columbia,30,1,8,,0,21,213,43,164,6,1,
Dane,57,0,15,,11,31,747,155,539,53,1,
Douglas,16,0,,6,1,9,203,70,114,19,0,
Eau Claire,13,3,,3,0,7,212,81,116,15,0,
Fond du Lac,25,0,10,,1,14,200,48,135,17,0,
Green,5,0,,1,0,4,76,28,47,1,0,
Iowa,13,0,0,,0,13,67,14,46,7,0,
Kenosha,52,0,,6,3,43,427,86,320,21,2,
Kewaunee,17,0,6,,1,10,67,14,49,4,0,
La Crosse,16,0,1,,0,15,131,49,74,8,0,
Marathon,20,1,,5,1,13,331,73,252,6,0,
Milwaukee,41,0,1,,5,35,125,5,80,40,0,
Outagamie,32,2,5,,1,24,285,106,162,17,3,
Ozaukee,12,0,,4,0,8,111,18,88,5,0,
Pierce,20,0,,0,0,20,125,55,62,8,0,
Racine,17,2,,3,3,9,257,39,201,17,0,
Rock,30,1,,12,1,16,325,109,197,19,6,
Sheboygan,29,0,,7,1,21,310,32,259,19,2,
St. Croix,18,0,2,,2,14,297,111,169,17,1,
Washington,3,0,,2,1,0,327,103,206,18,1,
Waukesha,71,0,,1,4,66,451,82,352,17,2,
Winnebago,21,0,,1,1,19,242,65,163,14,0,
Adams,15,0,,0,0,15,355,171,179,5,0,WISCONSIN - Nonmetropolitan Counties
Ashland,16,0,,0,0,16,28,3,21,4,0,
Barron,0,0,0,,0,0,201,84,110,7,1,
Bayfield,28,1,,2,1,24,121,51,63,7,0,
Buffalo,2,0,,0,0,2,19,4,11,4,0,
Burnett,33,1,3,,0,29,298,90,187,21,2,
Clark,18,0,0,,0,18,86,19,59,8,0,
Crawford,14,1,,0,0,13,119,25,92,2,0,
Dodge,26,1,5,,2,18,177,68,100,9,0,
Door,8,0,3,,0,5,122,18,102,2,0,
Dunn,35,1,,4,1,29,138,38,89,11,1,
Florence,5,0,,0,0,5,100,27,72,1,0,
Forest,26,0,,5,0,21,104,32,67,5,1,
Grant,32,0,5,,0,27,147,46,91,10,1,
Green Lake,1,0,,1,0,0,70,23,45,2,1,
Iron,1,1,,0,0,0,83,17,60,6,4,
Jackson,17,0,,5,3,9,175,72,76,27,1,
Jefferson,43,0,,8,4,31,259,66,183,10,0,
Juneau,46,0,7,,0,39,240,107,120,13,1,
Lafayette,6,0,,5,0,1,94,40,52,2,0,
Langlade,4,0,,0,0,4,150,42,103,5,1,
Lincoln,23,0,10,,0,13,87,31,45,11,0,
Manitowoc,27,0,4,,0,23,164,53,102,9,0,
Marinette,10,0,,3,2,5,205,78,111,16,0,
Marquette,6,0,2,,1,3,86,31,53,2,0,
Menominee,0,0,,0,0,0,45,19,24,2,0,
Monroe,16,0,3,,0,13,148,51,87,10,1,
Oneida,24,0,4,,0,20,163,51,106,6,0,
Pepin,3,0,,1,0,2,38,15,20,3,1,
Polk,99,0,,7,0,92,233,53,161,19,1,
Portage,15,0,4,,1,10,135,41,87,7,1,
Price,1,0,0,,0,1,101,35,62,4,1,
Richland,0,0,,0,0,0,57,12,39,6,0,
Rusk,23,1,2,,0,20,71,30,38,3,1,
Sauk,27,0,4,,4,19,363,76,259,28,0,
Sawyer,19,1,4,,3,11,161,52,99,10,1,
Shawano,26,1,,8,4,13,344,110,213,21,1,
Taylor,17,0,,2,0,15,83,10,63,10,0,
Trempealeau,9,0,,6,0,3,99,28,65,6,1,
Vernon,7,0,,0,1,6,91,30,54,7,0,
Vilas,8,0,2,,0,6,202,58,136,8,1,
Walworth,10,0,,0,2,8,197,64,128,5,0,
Washburn,17,0,4,,1,12,178,60,108,10,1,
Waupaca,82,1,,8,1,72,436,117,300,19,3,
Waushara8,23,0,17,,0,6,171,47,123,1,2,
Wood,5,0,,2,1,2,192,71,113,8,2,
Laramie,70,3,10,,3,54,495,117,319,59,1,WYOMING - Metropolitan Counties
Natrona,56,0,19,,3,34,248,84,136,28,3,
Albany,9,0,0,,0,9,36,5,29,2,1,WYOMING - Nonmetropolitan Counties
Big Horn,2,0,2,,0,0,24,7,15,2,1,
Campbell,126,2,5,,0,119,121,33,82,6,3,
Carbon,8,0,1,,0,7,25,6,17,2,0,
Crook,1,0,0,,0,1,47,12,30,5,0,
Fremont,25,0,4,,0,21,169,13,144,12,0,
Goshen,27,0,1,,0,26,42,12,27,3,0,
Hot Springs,1,0,0,,0,1,16,0,11,5,0,
Johnson,5,0,1,,0,4,29,10,18,1,0,
Lincoln,19,0,4,,0,15,58,15,39,4,2,
Park,30,0,1,,1,28,82,24,58,0,0,
Platte,1,0,0,,0,1,24,13,10,1,0,
Sheridan,27,0,0,,0,27,36,7,25,4,0,
Sublette,3,0,0,,1,2,79,5,69,5,0,
Sweetwater,25,0,7,,0,18,124,33,69,22,5,
Uinta,4,0,0,,0,4,60,5,50,5,0,
Washakie,0,0,0,,0,0,14,4,7,3,0,
Weston,1,0,0,,0,1,3,0,3,0,0,
